iter	Passed	Remaining
0	141	141102
1	142	70872
2	142	47398
3	143	35652
4	143	28616
5	144	23918
6	145	20570
7	145	18058
8	146	16109
9	146	14541
10	147	13265
11	148	12202
12	148	11298
13	149	10530
14	150	9857
15	150	9270
16	151	8754
17	151	8291
18	152	7879
19	153	7510
20	153	7172
21	154	6864
22	155	6585
23	155	6328
24	156	6091
25	156	5873
26	157	5669
27	157	5482
28	158	5307
29	159	5144
30	159	4995
31	160	4856
32	161	4724
33	161	4598
34	162	4479
35	163	4370
36	164	4268
37	164	4171
38	165	4079
39	166	3989
40	166	3904
41	167	3821
42	168	3741
43	168	3667
44	169	3595
45	170	3526
46	170	3459
47	171	3396
48	171	3336
49	172	3276
50	173	3222
51	173	3169
52	174	3117
53	175	3066
54	175	3019
55	176	2975
56	177	2931
57	177	2890
58	178	2849
59	179	2809
60	179	2768
61	180	2730
62	181	2692
63	181	2656
64	182	2621
65	182	2587
66	183	2554
67	184	2522
68	184	2491
69	185	2460
70	185	2431
71	186	2402
72	187	2374
73	187	2347
74	188	2321
75	188	2296
76	189	2272
77	190	2248
78	190	2225
79	191	2203
80	192	2181
81	193	2160
82	193	2136
83	194	2115
84	194	2095
85	195	2075
86	195	2055
87	196	2035
88	196	2016
89	197	1997
90	198	1979
91	198	1961
92	199	1944
93	199	1927
94	200	1910
95	201	1894
96	201	1877
97	202	1861
98	202	1847
99	203	1833
100	204	1819
101	204	1804
102	205	1790
103	206	1778
104	207	1764
105	207	1751
106	208	1737
107	208	1725
108	209	1712
109	210	1699
110	210	1687
111	211	1675
112	211	1662
113	212	1650
114	213	1639
115	213	1627
116	214	1616
117	214	1606
118	215	1595
119	216	1584
120	216	1574
121	217	1562
122	217	1552
123	218	1543
124	219	1533
125	219	1524
126	220	1515
127	221	1506
128	221	1497
129	222	1490
130	223	1482
131	224	1473
132	224	1465
133	225	1458
134	226	1449
135	227	1443
136	227	1435
137	228	1427
138	229	1419
139	229	1411
140	230	1404
141	231	1396
142	231	1390
143	232	1383
144	233	1376
145	234	1370
146	234	1363
147	235	1356
148	236	1349
149	236	1342
150	237	1336
151	238	1329
152	239	1323
153	239	1317
154	240	1311
155	241	1304
156	241	1298
157	242	1292
158	243	1286
159	243	1280
160	244	1272
161	244	1266
162	245	1260
163	246	1254
164	246	1248
165	247	1242
166	248	1237
167	248	1232
168	249	1226
169	250	1221
170	250	1215
171	251	1210
172	251	1204
173	252	1199
174	253	1193
175	253	1188
176	254	1182
177	254	1177
178	255	1172
179	256	1166
180	256	1161
181	257	1156
182	257	1151
183	258	1146
184	259	1141
185	259	1136
186	260	1131
187	260	1126
188	261	1121
189	261	1116
190	262	1112
191	263	1108
192	264	1104
193	264	1100
194	265	1095
195	266	1091
196	266	1086
197	267	1082
198	267	1078
199	268	1073
200	269	1069
201	269	1065
202	270	1061
203	270	1056
204	271	1052
205	272	1048
206	272	1044
207	273	1040
208	273	1036
209	274	1032
210	274	1028
211	275	1024
212	276	1020
213	276	1016
214	277	1012
215	278	1009
216	278	1006
217	279	1002
218	280	998
219	280	995
220	281	991
221	282	988
222	282	985
223	283	981
224	283	978
225	284	974
226	285	971
227	285	967
228	286	964
229	286	960
230	287	957
231	288	953
232	288	950
233	289	947
234	289	943
235	290	940
236	291	936
237	291	933
238	292	930
239	292	927
240	293	924
241	294	921
242	294	918
243	295	915
244	296	912
245	296	909
246	297	906
247	297	903
248	298	899
249	298	896
250	299	893
251	300	890
252	300	887
253	301	884
254	301	881
255	302	878
256	302	875
257	303	873
258	304	870
259	304	867
260	305	864
261	306	861
262	306	859
263	307	856
264	308	854
265	308	851
266	309	849
267	309	846
268	310	843
269	311	841
270	311	838
271	312	835
272	312	833
273	313	830
274	314	827
275	314	825
276	315	822
277	315	820
278	316	817
279	317	815
280	317	812
281	318	810
282	318	807
283	319	805
284	319	802
285	320	800
286	321	797
287	321	795
288	322	793
289	323	791
290	323	789
291	324	786
292	325	784
293	325	782
294	326	780
295	327	777
296	327	775
297	328	772
298	328	770
299	329	768
300	329	766
301	330	763
302	331	761
303	331	759
304	332	757
305	332	754
306	333	752
307	333	750
308	334	748
309	335	746
310	335	744
311	336	742
312	337	740
313	337	738
314	338	736
315	339	733
316	339	731
317	340	729
318	340	727
319	341	725
320	342	723
321	342	721
322	343	719
323	343	717
324	344	715
325	345	713
326	345	711
327	346	709
328	346	707
329	347	705
330	347	703
331	348	701
332	349	699
333	349	697
334	350	695
335	350	693
336	351	691
337	351	689
338	352	687
339	353	685
340	354	684
341	354	682
342	355	680
343	355	678
344	356	676
345	357	674
346	357	672
347	358	671
348	358	669
349	359	667
350	359	665
351	360	663
352	361	661
353	361	660
354	362	658
355	362	656
356	363	654
357	364	653
358	364	651
359	365	649
360	365	647
361	366	646
362	367	644
363	368	643
364	368	641
365	369	639
366	370	638
367	370	636
368	371	635
369	372	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	621
377	376	620
378	377	618
379	378	616
380	378	615
381	379	613
382	379	611
383	380	610
384	381	608
385	381	607
386	382	605
387	383	604
388	383	602
389	384	601
390	385	599
391	385	598
392	386	596
393	386	594
394	387	593
395	387	591
396	388	590
397	389	588
398	389	587
399	390	585
400	390	584
401	391	582
402	392	580
403	392	579
404	393	577
405	393	576
406	394	574
407	394	573
408	395	571
409	396	570
410	397	568
411	397	567
412	398	566
413	399	564
414	399	563
415	400	561
416	400	560
417	401	558
418	401	557
419	402	555
420	403	554
421	403	552
422	404	551
423	405	550
424	405	549
425	406	547
426	407	546
427	407	544
428	408	543
429	408	541
430	409	540
431	410	539
432	410	537
433	411	536
434	411	535
435	412	533
436	413	532
437	413	531
438	414	529
439	415	528
440	415	526
441	416	525
442	416	524
443	417	522
444	418	521
445	418	519
446	419	518
447	419	517
448	420	515
449	420	514
450	421	513
451	422	511
452	422	510
453	423	508
454	423	507
455	424	506
456	424	504
457	425	503
458	426	502
459	426	501
460	427	499
461	428	498
462	428	497
463	429	496
464	430	494
465	430	493
466	431	492
467	431	490
468	432	489
469	432	488
470	433	486
471	434	485
472	434	484
473	435	482
474	435	481
475	436	480
476	436	479
477	437	477
478	438	476
479	438	475
480	439	473
481	439	472
482	440	471
483	441	470
484	441	469
485	442	468
486	443	467
487	444	465
488	444	464
489	445	463
490	446	462
491	446	461
492	447	459
493	447	458
494	448	457
495	449	456
496	449	455
497	450	453
498	450	452
499	451	451
500	452	450
501	452	448
502	453	447
503	453	446
504	454	445
505	454	443
506	455	442
507	456	441
508	456	440
509	457	439
510	458	438
511	458	437
512	459	436
513	459	434
514	460	433
515	461	432
516	461	431
517	462	430
518	462	428
519	463	427
520	464	426
521	464	425
522	465	424
523	465	423
524	466	421
525	466	420
526	467	419
527	467	418
528	468	417
529	469	416
530	469	414
531	470	413
532	470	412
533	471	411
534	472	410
535	473	409
536	473	408
537	474	407
538	475	406
539	475	405
540	476	404
541	477	403
542	477	402
543	478	400
544	478	399
545	479	398
546	480	397
547	480	396
548	481	395
549	481	394
550	482	393
551	483	392
552	483	390
553	484	389
554	484	388
555	485	387
556	486	386
557	486	385
558	487	384
559	488	383
560	488	382
561	489	381
562	489	380
563	490	379
564	491	378
565	491	377
566	492	375
567	492	374
568	493	373
569	494	372
570	494	371
571	495	370
572	495	369
573	496	368
574	496	367
575	497	366
576	498	365
577	498	364
578	499	363
579	499	362
580	500	361
581	501	360
582	501	359
583	502	357
584	503	356
585	503	355
586	504	354
587	504	353
588	505	352
589	506	351
590	506	350
591	507	349
592	507	348
593	508	347
594	509	346
595	509	345
596	510	344
597	510	343
598	511	342
599	511	341
600	512	340
601	513	339
602	513	338
603	514	337
604	514	336
605	515	335
606	516	334
607	516	333
608	517	332
609	517	331
610	518	330
611	519	329
612	519	328
613	520	327
614	520	326
615	521	325
616	522	324
617	522	323
618	523	322
619	523	321
620	524	320
621	524	319
622	525	318
623	526	317
624	526	316
625	527	314
626	527	314
627	528	313
628	529	312
629	529	311
630	530	310
631	531	309
632	531	308
633	532	307
634	533	306
635	533	305
636	534	304
637	534	303
638	535	302
639	536	301
640	536	300
641	537	299
642	537	298
643	538	297
644	539	296
645	539	295
646	540	294
647	540	293
648	541	292
649	541	291
650	542	290
651	543	289
652	543	288
653	544	287
654	544	287
655	545	286
656	546	285
657	547	284
658	547	283
659	548	282
660	548	281
661	549	280
662	550	279
663	550	278
664	551	277
665	551	276
666	552	275
667	552	274
668	553	273
669	554	272
670	554	271
671	555	271
672	555	270
673	556	269
674	557	268
675	557	267
676	558	266
677	558	265
678	559	264
679	560	263
680	560	262
681	561	261
682	562	260
683	562	260
684	563	259
685	564	258
686	564	257
687	565	256
688	566	255
689	566	254
690	567	253
691	568	252
692	568	251
693	569	250
694	569	250
695	570	249
696	570	248
697	571	247
698	572	246
699	572	245
700	573	244
701	573	243
702	574	242
703	575	241
704	575	241
705	576	240
706	577	239
707	578	238
708	578	237
709	579	236
710	579	235
711	580	234
712	581	233
713	581	232
714	582	232
715	582	231
716	583	230
717	583	229
718	584	228
719	585	227
720	585	226
721	586	225
722	586	224
723	587	223
724	588	223
725	588	222
726	589	221
727	589	220
728	590	219
729	591	218
730	592	217
731	592	216
732	593	216
733	594	215
734	594	214
735	595	213
736	595	212
737	596	211
738	597	210
739	597	210
740	598	209
741	599	208
742	599	207
743	600	206
744	601	205
745	601	204
746	602	204
747	603	203
748	603	202
749	604	201
750	605	200
751	605	199
752	606	199
753	607	198
754	607	197
755	608	196
756	609	195
757	609	194
758	610	193
759	611	192
760	611	192
761	612	191
762	612	190
763	613	189
764	614	188
765	614	187
766	615	186
767	616	186
768	616	185
769	617	184
770	618	183
771	618	182
772	619	181
773	620	181
774	621	180
775	621	179
776	622	178
777	623	177
778	623	176
779	624	176
780	625	175
781	625	174
782	626	173
783	627	172
784	627	171
785	628	171
786	629	170
787	630	169
788	630	168
789	631	167
790	632	167
791	633	166
792	634	165
793	635	164
794	635	163
795	636	163
796	637	162
797	638	161
798	639	160
799	639	159
800	640	159
801	641	158
802	641	157
803	642	156
804	643	155
805	644	155
806	645	154
807	646	153
808	646	152
809	647	151
810	648	151
811	649	150
812	649	149
813	650	148
814	651	147
815	652	147
816	652	146
817	653	145
818	654	144
819	655	143
820	655	143
821	656	142
822	657	141
823	658	140
824	658	139
825	659	138
826	660	138
827	661	137
828	661	136
829	662	135
